Registry ID,Co-op Name,Incorporation Year,Address,Town,Province/State,Postal Code,Type
3310038,SPRUCE DRIVE CO-OPERATIVE LTD.,2017,14 SPRUCE DRIVE,HEATHERTON,NS,B0H 1R0,SERVICES
3191173,SPRYVIEW HOUSING CO-OPERATIVE LIMITED,2006,PO BOX 824,LOWER SACKVILLE,NS,B4C 3V3,HOUSING
2245085,SSG SUPPORT SERVICES GROUP CO-OPERATIVE LTD.,1993,82 TACOMA DR. SUITE 207,DARTMOUTH,NS,B2W 3E5,SERVICES
3216455,STRAIT AREA TRANSIT CO-OPERATIVE LTD.,2007,"32 PAINT STREET, UNIT 2",PORT HAWKESBURY,NS,B9A 3J8,WORKER LABOUR
3097408,SUNRISE TRAIL COMMUNITY DEVELOPMENT CO-OPERATIVE LIMITED,2005,6250 WILLOW ST. ,HALIFAX,NS,B3L 1N9,INVESTMENT
3085934,SUNSET FUNERAL CO-OPERATIVE LIMITED,2004,BOX 65,MARGAREE VALLEY,NS,B0E 2C0,WORKER LABOUR
3014473,SYDNEY MINES INVESTMENT CO-OPERATIVE LIMITED,1997,PO BOX 99,SYDNEY MINES,NS,B1V 2Y4,INVESTMENT
3110411,SYDPORT INVESTMENT CO-OPERATIVE LTD.,2005,PO BOX 1201,SYDNEY,NS,B1P 6J9,INVESTMENT
3217645,TATAMAGOUCHE COMMUNITY LAND CO-OPERATIVE LTD.,2007,"11 ALEX COX ROAD, RR #1",TATAMAGOUCHE,NS,B0K 1V0,SERVICES
3085260,TATAMAGOUCHE FARMERS' MARKET CO-OP LTD.,2003,PO BOX 59,TATAMAGOUCHE,NS,B0K 1V0,AGRICULTURE
3007845,TEAM WORK COOPERATIVE LIMITED,1997,"501-7051 BAYERS RD
SUITE M278",HALIFAX,NS,B3L 2C1,WORKER LABOUR
1442474,THE APARTMENT HOUSING CO-OPERATIVE LIMITED,1981,#8-10 CHERRY LANE,HALIFAX,NS,B3P 1Y8,HOUSING
1855894,THE BIRCHES HOUSING CO-OPERATIVE LIMITED,1988,BOX 387,DIGBY,NS,B0V 1A0,HOUSING
1351216,THE BLACK DUCK ARTS CO-OPERATIVE LIMITED,1973,BOX 1454,LUNENBURG,NS,B0J 2C0,CRAFT PRODUCTS
1351912,THE BRIERLY HOUSE CO-OPERATIVE LIMITED,1979,11 COURT STREET,ANTIGONISH,NS,B2G 1Z7,HOUSING
3267060,THE BUS STOP THEATRE COOPERATIVE LTD.,2012,2203 GOTTINGEN STREET,HALIFAX,NS,B3K 3B5,SERVICES
3273128,THE COMMUNITY CARROT CO-OPERATIVE LIMITED,2013,PO BOX 730,HALIFAX,NS,B3J 2V1,RETAIL CONSUMER PRODUCTS
1474926,THE CROSS-ROADS NON PROFIT HOUSING CO-OPERATIVE LIMITED,1983,1 UNITY COURT,LOWER SACKVILLE,NS,B4E 2R9,HOUSING
3235926,THE DANDELION COMMUNITY INVESTMENT COOPERATIVE LIMITED,2009,209 MAIN STREET,WOLFVILLE,NS,B4P 1C3,INVESTMENT
