OBJECTID,MATERIAL,SOURCE,SACC,ROUTE_NAME,EQUIPMENT,DATE_ACT,DATE_REV,GLOBALID,FDMID,PRIORITY,WNTR_EXCH,SDATE,Shape__Length
3206,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-12-16T00:00:00.000Z,15ccd379-c69a-4b85-86a0-a97aa8337ed2,700002735,2,No,2002-12-13T00:00:00.000Z,393.893356794866
3207,SALT,TPW,,W3PUR,,2001-12-05T00:00:00.000Z,2018-12-01T00:00:00.000Z,bd3de887-b88b-4347-9d60-930bdbcfde69,300000436,2,No,2001-12-05T00:00:00.000Z,338.136986933776
3208,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-12-16T00:00:00.000Z,6f74f679-048d-437a-995b-3edce67b4a6d,100001713,2,No,2002-12-13T00:00:00.000Z,235.262985847442
3209,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-11-02T00:00:00.000Z,e571e5ff-7334-4818-8a97-82920ad70eba,700003862,2,No,2002-12-12T00:00:00.000Z,213.128111593547
3210,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,9260394e-05ef-45b3-9fc0-e6289f6c86ac,300002524,2,No,2011-08-04T00:00:00.000Z,110.297189671879
3211,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,4fa52c52-7f73-4676-9d35-cc0b2b6925d0,200001648,2,No,2010-10-01T00:00:00.000Z,114.903875464323
3212,SAND,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,d3702f0e-13a4-4976-a084-d6a0bd6dcf2d,100002547,2,No,2002-12-13T00:00:00.000Z,175.252771819597
3213,SAND,TPW,,WSZ2,,2004-10-28T00:00:00.000Z,2017-09-25T00:00:00.000Z,3ed8149d-4075-4598-a20b-80ee0aa66c33,100002221,1,Yes,2004-10-28T00:00:00.000Z,610.280207229189
3214,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-11-02T00:00:00.000Z,3678822f-9ca4-4038-9cb3-d8f43047e9a1,100001279,2,No,2002-12-12T00:00:00.000Z,309.724371568476
3215,SAND,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,f7f83b04-27d7-4f15-9450-250583501197,700007736,1,No,2002-12-13T00:00:00.000Z,60.1377216307902
3216,SALT,TPW,,W3GR,,2001-12-07T00:00:00.000Z,2018-12-01T00:00:00.000Z,a979ff08-8818-40ce-be53-335ba43f5b0b,300000197,1,No,2001-12-07T00:00:00.000Z,506.568705442667
3217,SALT,TPW,,W3PR,,2001-12-10T00:00:00.000Z,2018-12-01T00:00:00.000Z,0d9b681f-3d65-44b5-b357-0f983a1f7351,300000924,1,No,2001-12-10T00:00:00.000Z,100.21246968258
3218,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,528eccd0-cfa5-4b66-aa29-19200a51e9b8,200000064,2,No,2010-10-01T00:00:00.000Z,237.256805383576
3219,SALT,TPW,,W2YR,,2007-09-24T00:00:00.000Z,2018-12-01T00:00:00.000Z,e855eddc-b82c-40fc-a5d4-ae8d6569ab70,700004985,1,No,2007-09-24T00:00:00.000Z,129.146429420966
3220,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,182a10f0-d428-44f8-9ac1-a7590bf9fca0,200001567,2,No,2010-10-01T00:00:00.000Z,363.951990718246
3221,SALT,TPW,,W2GR,,2001-12-16T00:00:00.000Z,2018-12-01T00:00:00.000Z,983710b8-279f-4a53-808e-962e7511eebb,300000588,1,No,2001-12-16T00:00:00.000Z,264.884745680703
3222,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,d0339c75-e36d-40ef-b01d-55eceb5919a0,200000648,1,No,2002-11-20T00:00:00.000Z,82.6638213064711
3223,,TPW,,PROV,,2017-03-15T00:00:00.000Z,,cf696743-cca0-4399-a748-3c80e2b2fef1,700002088,,Yes,2017-03-15T00:00:00.000Z,1561.13638431201
3224,SALT,TPW,,W2-1,,2001-10-08T00:00:00.000Z,2015-11-18T00:00:00.000Z,7f158047-3c1b-4c80-b6a4-f774801a79a9,300000325,2,No,2001-10-08T00:00:00.000Z,100.402125390602
3225,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-11-02T00:00:00.000Z,a04113d3-a4f9-48a2-acd1-2414d0d1b1a2,600000898,2,No,2002-12-12T00:00:00.000Z,667.180388330208
3226,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,2781ecfa-9926-4842-85b5-be6b00f5b6d4,200001480,1,No,2002-11-20T00:00:00.000Z,132.651975063353
3227,SALT,TPW,,W1-4,,2015-12-08T00:00:00.000Z,2017-09-19T00:00:00.000Z,bd1b2f0a-aeb0-4d9a-9986-df207db23cbf,700010089,1,No,2015-12-08T00:00:00.000Z,94.723879332501
3228,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-10-05T00:00:00.000Z,3ebafe0e-581e-4424-a310-1dc3201674a3,700009786,1,No,2002-12-12T00:00:00.000Z,84.6825883147685
3229,SALT,TPW,,W2YR,,2007-09-24T00:00:00.000Z,2018-12-01T00:00:00.000Z,1da320ca-385d-4084-b21f-bdb85e8c8309,700004895,1,No,2007-09-24T00:00:00.000Z,215.651143353027
3230,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-12-16T00:00:00.000Z,52ba27e9-151d-424b-a622-534fd2dda03b,100001105,2,No,2002-12-13T00:00:00.000Z,597.454977407811
3231,SALT,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,4f20bb6a-164f-408a-bcf1-9ef915bb4788,100002191,2,No,2002-12-13T00:00:00.000Z,111.031104762579
3232,SAND,TPW,,WSZ2,,2004-10-28T00:00:00.000Z,2017-09-25T00:00:00.000Z,60fb56fd-3b54-4dd3-808d-bdc2f97bc568,700006168,1,No,2004-10-28T00:00:00.000Z,268.375402217495
3233,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,07d727d9-679e-43c5-bf83-5b9bfa47d0a7,200001838,2,No,2010-10-01T00:00:00.000Z,104.725331474062
3234,SALT,TPW,DUP,W3YR,,2001-12-17T00:00:00.000Z,2018-12-01T00:00:00.000Z,fe0cf926-7313-421b-af3a-96a7e9784f57,700005275,1,No,2001-12-17T00:00:00.000Z,59.4810892182162
3235,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,35c9c1d0-9f4d-4c98-bafd-8b559ff00f28,700010473,1,No,2002-11-20T00:00:00.000Z,152.84929300551
3236,,TPW,,PROV,,2017-03-15T00:00:00.000Z,,1280e6f1-b8de-4826-af0a-bc78caa1c9d3,400000546,,Yes,2017-03-15T00:00:00.000Z,475.451293256116
3237,SAND,TPW,,WSZ2,,2004-10-28T00:00:00.000Z,2017-09-25T00:00:00.000Z,b800adfe-f00f-49a0-993a-6f5a9626a8c9,700002020,1,No,2004-10-28T00:00:00.000Z,683.814913077097
3238,SALT,TPW,,E1PR,,2018-01-22T00:00:00.000Z,2018-12-01T00:00:00.000Z,793c4f0c-32c3-4299-805e-757f997e3ec8,700010645,2,No,2018-01-22T00:00:00.000Z,1177.26616630223
3239,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-11-02T00:00:00.000Z,0fa2f893-649a-4a39-bea5-c52d9dde3890,600000917,2,No,2002-12-12T00:00:00.000Z,325.62817380985
3240,SALT,TPW,,E1PR,,2017-10-10T00:00:00.000Z,2018-12-01T00:00:00.000Z,b7ace7da-b889-4177-933d-9e12e52ffd17,700010914,2,No,2017-10-10T00:00:00.000Z,116.530322172693
