OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1002806,TIDEWINDS LANE,TIDEWINDS,LANE,Tidewinds Lane,Tidewinds,EASTERN PASSAGE,EASTERN PASSAGE,17138,17138,347.508118645859
1002807,KEIGAN DR,KEIGAN,DR,Keigan Dr,Keigan,ENFIELD,ENFIELD,16698,16698,761.789280069975
1002808,MORAINE DR,MORAINE,DR,Moraine Dr,Moraine,ENFIELD,ENFIELD,16699,16699,1041.61677558212
1002809,HIDDEN LANE,HIDDEN,LANE,Hidden Lane,Hidden,WEST PETPESWICK,WEST PETPESWICK,16452,16452,270.60163882882
1002810,CLAMSHELL RD,CLAMSHELL,RD,Clamshell Rd,Clamshell,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,7292,7292,840.350159536311
1002811,HIGHWAY 7,HIGHWAY 7, ,Highway 7,Highway 7,HEAD OF JEDDORE,HEAD OF JEDDORE,10472,10472,6991.59857386036
1002812,CROSS RD,CROSS,RD,Cross Rd,Cross,OSTREA LAKE,OSTREA LAKE,10760,10760,2191.79486322791
1002813,VICTORIA RD,VICTORIA,RD,Victoria Rd,Victoria,DARTMOUTH,DARTMOUTH,6678,6678,9515.14164057713
1002814,KARA CRT,KARA,CRT,Kara Crt,Kara,HAMMONDS PLAINS,HAMMONDS PLAINS,10542,10542,297.900236387792
1002815,KAYTYON CRT,KAYTYON,CRT,Kaytyon Crt,Kaytyon,BEDFORD,BEDFORD,10544,10544,108.969914966088
1002816,KEEGAN LANE,KEEGAN,LANE,Keegan Lane,Keegan,WELLINGTON,WELLINGTON,10545,10545,543.860360396779
1002817,KINGS WHARF PL,KINGS WHARF,PL,Kings Wharf Pl,Kings Wharf,DARTMOUTH,DARTMOUTH,16933,16933,414.823624197572
1002818,KINGSTON CRES,KINGSTON,CRES,Kingston Cres,Kingston,DARTMOUTH,DARTMOUTH,6364,6364,1003.61462075052
1002819,GUY ST,GUY,ST,Guy St,Guy,DARTMOUTH,DARTMOUTH,6296,6296,588.49996368918
1002820,HILLSIDE AVE,HILLSIDE,AVE,Hillside Ave,Hillside,DARTMOUTH,DARTMOUTH,6321,6321,350.96086000443
1002821,LAKESIDE TERR,LAKESIDE,TERR,Lakeside Terr,Lakeside,DARTMOUTH,DARTMOUTH,6373,6373,281.148971685406
1002822,LAWNSDALE DR,LAWNSDALE,DR,Lawnsdale Dr,Lawnsdale,DARTMOUTH,DARTMOUTH,6387,6387,635.635008554622
1002823,KNOLL RG,KNOLL,RG,Knoll Rg,Knoll,UPPER TANTALLON,UPPER TANTALLON,16164,16164,179.363645719754
1002824,LAKEVISTA LANE,LAKEVISTA,LANE,Lakevista Lane,Lakevista,LEWIS LAKE,LEWIS LAKE,16165,16165,265.681610751549
1002825,NEARWATER LANE,NEARWATER,LANE,Nearwater Lane,Nearwater,BLACK POINT,BLACK POINT,16136,16136,423.115836666206
1002826,TRAILSIDE RD,TRAILSIDE,RD,Trailside Rd,Trailside,QUEENSLAND,QUEENSLAND,16138,16138,340.208669625796
1002827,GILBERT LANE,GILBERT,LANE,Gilbert Lane,Gilbert,BLACK POINT,BLACK POINT,16141,16141,378.227255490646
1002828,HEADLANDS LANE,HEADLANDS,LANE,Headlands Lane,Headlands,HUBBARDS,HUBBARDS,16143,16143,178.603999084844
1002829,JAPHETH LANE,JAPHETH,LANE,Japheth Lane,Japheth,QUEENSLAND,QUEENSLAND,16144,16144,177.985317387914
